date,summ,Квартира,s1,Харчування,s2,Транспорт,s3,Інтернет,s4,Мобільний звязок,s5,Одежа,s6,Медикаменти,s7,Покупка техніки,s8,Відпочинок і подорожі,s9,Подарунки и дні народження,s10,Інше,s11,Автомобіль,s12,Навчання,s13,Дохід,s14
27-апр.-2014,"39,38",,,Lidl,"9,39",MHD,"1,80",,,,,"Tricka (TESCO) 
Saty (1 EUR)","5,40",,,,,,,,,Kluce,"22,79",,,,,,
28-апр.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-апр.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-апр.-2014,"5,49",,,My Bratislava,"5,49",,,,,,,,,,,,,,,,,,,,,,,,
Апрель,,,"440,00",,"103,91",,"95,11",,"7,97",,"7,86",,"79,72",,"0,00",,"0,00",,"10,00",,"56,47",,"67,68",,"43,12",,,,
1-мая-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,979
2-мая-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-мая-2014,"62,98",,,TESCO,"24,00",,,,,,,,,,,,,,,,,Strojceky na ostrihanie (TESCO),"38,98",,,,,,
4-мая-2014,"19,28",,,Billa,"1,35",,,,,,,Obuv (Lidl),"17,93",,,,,,,,,,,,,,,,
5-мая-2014,"55,78",,,Moja Samoska,"4,12",,,,,,,,,,,,,,,,,,,,,,,,
6-мая-2014,"22,36",,,,,,,UPC,"12,68",,,,,,,,,,,,,,,,,,,,
7-мая-2014,"9,68",,,"My Bratislava (5,68)
Obed (4)","9,68",,,,,,,,,,,,,,,,,,,,,,,,
8-мая-2014,"15,11",,,Moja Samoska,"5,15",,,,,,,Saty,"6,96",,,,,,,Textil House,"3,00",,,,,,,,
9-мая-2014,"9,00",,,Lidl,"9,00",,,,,,,,,,,,,,,,,,,,,,,,
10-мая-2014,"33,40",,,,,,,,,,,,,,,,,"Benzin (20)
Listky Vienna (8,40)
Kafe (5)","33,40",,,,,,,,,,
11-мая-2014,"39,60",,,TESCO,"34,20",Parking,"1,00",,,,,Ponozky,"1,40",,,,,,,Genezis,"3,00",,,,,,,,
12-мая-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-мая-2014,"1,40",,,Moja Samoska,"1,40",,,,,,,,,,,,,,,,,,,,,,,,
14-мая-2014,"4,90",,,Obed,"4,90",,,,,,,,,,,,,,,,,,,,,,,,
15-мая-2014,"8,00",,,Trhovysko,"8,00",,,,,,,,,,,,,,,,,,,,,,,,
16-мая-2014,"22,43",,,Lidl,"10,43",,,,,,,,,,,,,,,,,,,,,,,,
17-мая-2014,"12,89",,,Moja Samoska,"0,89",,,,,,,,,,,,,"Muzeumi (4)
Pivo (8)","12,00",,,,,,,,,,
18-мая-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-мая-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-мая-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-мая-2014,"465,33",Najomne,"440,00",Obed,"8,00",,,,,O2,"17,33",,,,,,,,,,,,,,,,,,
22-мая-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-мая-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-мая-2014,"70,35",,,TESCO,"51,08",,,,,,,,,,,,,,,,,Baumax (Lepidlo+ Aceton),"14,27",Umivanie,"5,00",,,,
25-мая-2014,"6,40",,,Billa,"6,40",,,,,,,,,,,,,,,,,,,,,,,,
26-мая-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-мая-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-мая-2014,"3,00",,,Lidl,"3,00",,,,,,,,,,,,,,,,,,,,,,,,
29-мая-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-мая-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-мая-2014,"7,29",,,Lidl,"7,29",,,,,,,,,,,,,,,,,,,,,,,,
Май,,,"440,00",,"188,89",,"1,00",,"12,68",,"17,33",,"26,29",,"0,00",,"0,00",,"45,40",,"6,00",,"53,25",,"5,00",,,,
1-июня-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971
2-июня-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-июня-2014,,,,,,,,UPC,"15,80",,,,,,,,,,,,,,,,,,,,
4-июня-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-июня-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-июня-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-июня-2014,,,,,,,,,,,,,,,,,,Benzin(20) + Muzeum(20) + Obed(35) + Ubahn(8.4) - Drobnich,"55,00",,,,,,,,,,
8-июня-2014,,,,,,,,,,,,,,,,,,Drobnich,"10,00",,,,,,,,,,
9-июня-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-июня-2014,,,,Tesco,"40,39",,,,,,,,,,,,,,,,,,,,,,,,
11-июня-2014,,,,Lidl,"1,63",,,,,,,,,,,,,,,,,,,,,,,,
12-июня-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-июня-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-июня-2014,,,,tesco,"11,39",,,,,,,Tricko,"3,99",,,,,,,,,"do kuchiny(11.74), na vlasy oley (6.79)","18,53",,,,,,
15-июня-2014,,,,Lidl,"1,57",,,,,,,Termo oblecenie (12.50) Tricko (0.99),"13,49",,,,,,,,,,,,,,,,
16-июня-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-июня-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-июня-2014,,,,Lidl,"3,09",,,,,,,,,,,,,,,,,,,,,,,,
19-июня-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-июня-2014,,,,Lidl,"12,06",,,,,,,,,,,,,,,,,,,,,,,,
21-июня-2014,,,,Billa (2.70) Lidl (6.03),"8,73",,,,,,,,,,,,,,,,,,,,,,,,
22-июня-2014,,Najomne,"440,00",Tesco,"12,39",,,,,O2,"31,18",,,,,,,,,,,,,Benzin(10) + umivanie(5),"15,00",,,,
23-июня-2014,,,,,,,,,,,,,,,,Fotoaparat,"270,00",,,,,,,,,,,,
24-июня-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-июня-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-июня-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-июня-2014,,,,Moja Samoska,"6,13",,,,,,,,,,,Pamatova karta 32Gb,"16,50",,,,,,,,,,,,
28-июня-2014,,,,Lidl,"2,50",,,,,,,Saty,"3,60",,,Puzdro,"24,00",,,,,,,,,,,,
29-июня-2014,,,,Tesco,"16,8",,,,,,,,,,,,,,,,,kika,"10,37",,,,,,
30-июня-2014,,,,,,,,,,,,Obuv Diechman,"26,85",,,,,,,,,,,,,,,,
Июнь,,,"440,00",,"116,68",,"0,00",,"15,80",,"31,18",,"47,93",,"0,00",,"310,50",,"65,00",,"0,00",,"28,90",,"15,00",,,,
1-июля-2014,,,,Lidl,"8,29",,,,,,,,,,,,,,,,,,,,,,,,1269
2-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-июля-2014,,,,Tesco,"22,33",,,,,,,,,,,,,,,,,,,,,,,,
6-июля-2014,,,,,,,,,,,,,,,,,,See,"8,00",,,,,,,,,,
7-июля-2014,,,,Obed,"4,00",,,UPC,"15,80",,,,,Pantenol,"4,13",,,,,,,,,,,,,,
8-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-июля-2014,,,,"Lidl, Obed","6,72",,,,,,,,,,,,,,,,,,,,,,,,
10-июля-2014,,,,Lidl,"10,58",,,,,,,,,Test,"5,30",,,,,,,,,,,,,,
11-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-июля-2014,,,,Tesco,"24,61",Benzin,"19,29",,,,,,,,,,,,,,,,,,,,,,
13-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-июля-2014,,,,Lidl,"5,57",,,,,,,,,,,,,,,,,,,,,,,,
18-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-июля-2014,,,,Tesco,"28,77",,,,,,,,,,,Holiacy Pristroj,"14,99",,,,,,,,,,,,
20-июля-2014,,,,Lidl,"5,07",,,,,,,Jula Tricko,"1,99",,,,,,,Alkotester,"17,99",,,,,,,,
21-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
