date,summ,Квартира,s1,Харчування,s2,Транспорт,s3,Інтернет,s4,Мобільний звязок,s5,Одежа,s6,Медикаменти,s7,Покупка техніки,s8,Відпочинок і подорожі,s9,Подарунки и дні народження,s10,Інше,s11,Автомобіль,s12,Навчання,s13,Дохід,s14
6-нояб.-2014,,,,Obed,"6,00",,,,,,,,,,,,,,,,,,,,,,,,
7-нояб.-2014,,,,Billa,"6,37",,,,,,,,,,,,,,,,,,,,,,,,
8-нояб.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-нояб.-2014,,,,Lidl,"3,53",,,,,,,,,Mane B6,"7,95",,,,,,,,,,,,,,
10-нояб.-2014,,,,Obed,"9,23",,,,,,,,,,,,,,,,,,,,,,,,
11-нояб.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-нояб.-2014,,,,"Billa , Caj Piekov","11,56",,,,,,,,,,,,,,,,,,,,,,,,
13-нояб.-2014,,,,,,,,,,,,Kobat + Shal,"18,05",,,,,,,,,,,,,,,,
14-нояб.-2014,,,,Lidl + obed,"23,39",,,,,,,,,,,,,,,,,,,,,,,,
15-нояб.-2014,,,,,,,,,,,,,,,,,,,,,,,,Kolesa,"57,02",,,,
16-нояб.-2014,,,,"Napoj, kokosovy olej","7,37",,,,,,,,,,,,,,,Ikea(obed),"7,07",Ikea,"6,48",,,,,,
17-нояб.-2014,,,,Lidl,"18,56",,,,,,,,,,,,,,,,,,,,,,,,
18-нояб.-2014,,,,obed,"5,00",,,,,,,,,,,,,,,,,,,,,,,,
19-нояб.-2014,,,,obed,"5,00",,,UPC,"15,80",O2,"34,45",,,,,,,,,,,,,,,,,,
20-нояб.-2014,,Najomne,"440,00",,,,,,,,,,,,,,,,,,,,,,,,,,
21-нояб.-2014,,,,obed,"5,80",MHD,"26,90",,,,,,,,,,,chlast,"39,18",,,,,,,,,,
22-нояб.-2014,,,,Billa + tesco,"17,57",,,,,,,,,,,,,,,,,,,,,,,,
23-нояб.-2014,,,,,,,,,,,,"Yulia obuv, taska","72,00",,,,,,,,,,,,,,,,
24-нояб.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-нояб.-2014,,,,Tesco,"4,20",,,,,,,,,,,,,,,,,elektrosuciastky,"20,67",suciastky,"16,86",,,,
26-нояб.-2014,,,,"obed, lidl","21,72",,,,,,,,,,,,,,,,,,,,,,,,
27-нояб.-2014,,,,"Billa, obed","5,58",,,,,,,,,,,,,,,,,,,,,,,,
28-нояб.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-нояб.-2014,,,,Lidl,"3,00",,,,,,,Bunda Miroslav,"64,99",,,,,SOHO,"15,00",Papi Bruska vrtak,"20,00",,,,,,,,
30-нояб.-2014,,,,Tesco,"34,67",,,,,,,,,,,,,,,,,,,benzin,"32,11",,,,
Ноябрь,,,"440,00",,"255,08",,"26,90",,"15,80",,"34,45",,"181,70",,"7,95",,"0,00",,"54,18",,"27,07",,"41,21",,"110,16",,"0,00",,
1-дек.-2014,,,,Billa,"3,81",,,,,,,,,,,,,,,,,,,,,Slovensky jazyk,"20,00",,2225.7
2-дек.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-дек.-2014,,,,"billa, obed","9,34",,,,,,,,,,,,,,,,,,,,,Slovensky jazyk,"4,00",,
4-дек.-2014,,,,Lidl,"35,14",,,,,,,,,,,,,,,,,,,,,,,,
5-дек.-2014,,,,,,,,,,,,,,,,,,,,,,,,STK,"85,00",,,,
6-дек.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-дек.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-дек.-2014,,,,"Lidl, TESCO","10,89",,,,,,,,,,,,,,,,,,,,,,,,
9-дек.-2014,,,,obed,"4,90",,,,,,,,,"Paralen, Septolete","6,00",,,,,,,,,,,,,,
10-дек.-2014,,,,Billa,"2,07",,,,,,,,,,,,,,,,,,,,,Slovensky jazyk,"12,00",,
11-дек.-2014,,,,obed,"8,50",,,UPC,"15,80",,,,,,,Alza,"21,58",,,,,Pocitac v robote,"225,27",UNIQA poisťovňa,"36,21",,,,
12-дек.-2014,,,,Billa,"4,42",,,,,,,,,,,,,,,,,,,,,,,,
13-дек.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-дек.-2014,,,,TESCO,"34,19",,,,,,,,,,,,,,,,,,,,,,,,
15-дек.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-дек.-2014,,,,obed,"5,68",,,,,,,,,,,,,,,,,Katastranly urad,"11,00",,,,,,
17-дек.-2014,,,,,,,,,,,,,,,,Telefon,"319,00",,,,,,,,,,,,
18-дек.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-дек.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-дек.-2014,,,,Lidl,"12,77",,,,,,,,,,,,,"Zlaty bazant, vino","12,72",Cesta z Vynogradova,"100,00",,,,,,,,
21-дек.-2014,,Najomne,"440,00",TESCO,"20,48",,,,,,,,,,,,,Wienna,"28,00",,,,,Benzin,"20,00",,,,
22-дек.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-дек.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-дек.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-дек.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-дек.-2014,,,,Billa,"8,80",,,,,,,,,,,,,,,Cesta vlakom + darcek,"112,80",,,,,,,,
27-дек.-2014,,,,Billa,"1,84",,,,,,,,,,,,,,,,,"uces, kozmetika","30,00",,,,,,
28-дек.-2014,,,,Lidl,"10,52",,,,,,,,,,,,,,,,,ozdoby,"1,10",,,,,,
29-дек.-2014,,,,obed,"9,06",MHD,"26,90",,,,,,,,,,,,,,,,,,,,,,
30-дек.-2014,,,,Lidl + obed,"17,27",,,,,,,,,,,,,,,,,,,,,,,,
31-дек.-2014,,,,"obed, TERNO","16,48",,,,,,,Julia boty,"24,90",,,,,,,,,,,,,,,,
Декабрь,,,"440,00",,"216,16",,"26,90",,"15,80",,"0,00",,"24,90",,"6,00",,"340,58",,"40,72",,"212,80",,"267,37",,"141,21",,"36,00",,
1-янв.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-янв.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-янв.-2015,,,,TESCO,"36,60",,,,,,,,,DM,"2,48",,,,,,,,,,,,,,
4-янв.-2015,,,,Lidl,"1,56",,,,,,,,,,,,,,,,,Baumax,"0,99",,,,,,
5-янв.-2015,,,,Billa,"2,87",,,,,,,,,,,,,,,,,,,,,,,,
6-янв.-2015,,,,,,,,,,,,,,,,,,,,,,Baumax,"11,14",,,,,,
7-янв.-2015,,,,Moja Samoska,"4,02",,,,,,,,,,,,,,,,,Kolky,"9,00",,,,,,
8-янв.-2015,,,,Lidl,"10,68",,,,,,,,,,,,,,,,,,,,,,,,
9-янв.-2015,,,,Billa,"2,49",,,,,,,,,,,,,,,,,,,,,,,,
10-янв.-2015,,,,TESCO,"1,15",,,,,,,,,,,,,,,,,,,,,,,,
11-янв.-2015,,,,,,,,,,,,,,DM,"1,19",,,,,,,,,,,,,,
12-янв.-2015,,,,obed,"8,60",,,,,,,,,,,,,,,,,Salky 2 kusy,"6,58",,,SK,"12,00",,
13-янв.-2015,,,,"LIdl, obed","14,49",,,,,,,,,,,,,,,,,,,,,,,,
14-янв.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,SK,"12,00",,
15-янв.-2015,,,,obed + pivo + kava + Tesco,"18,56",,,,,,,,,,,,,Golem,"15,00",,,,,,,,,,1800
16-янв.-2015,,,,obed,"1,20",,,UPS,"15,80",,,,,,,,,,,,,Sitko na caj,"2,80",,,,,,
17-янв.-2015,,,,Lidl,"16,80",,,,,,,,,,,,,,,,,Hornbach,"8,68",,,,,,
18-янв.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-янв.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-янв.-2015,,,,obed,"12,00",,,,,,,,,,,,,,,,,,,,,,,,
21-янв.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-янв.-2015,,Najomne,"440,00",lidl,"11,93",,,,,,,,,,,,,,,,,,,,,,,,
23-янв.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-янв.-2015,,,,,,,,,,,,"Kedy, nosky","52,00",,,,,U bažanta,"20,00",,,,,,,,,,
25-янв.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-янв.-2015,,,,Billa,"2,14",,,,,,,,,,,,,,,,,,,,,,,,
27-янв.-2015,,,,,,,,,,,,genesis,"2,97",,,,,,,,,,,,,,,,
28-янв.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-янв.-2015,,,,"obed, billa","9,50",,,,,,,,,,,,,,,,,,,,,,,,
30-янв.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-янв.-2015,,,,Billa,"14,64",,,,,,,Rukavice,"36,00",,,,,,,,,,,,,,,,
Январь,,,"440,00",,"169,23",,"0,00",,"15,80",,"0,00",,"90,97",,"3,67",,"0,00",,"35,00",,"0,00",,"39,19",,"0,00",,"24,00",,
1-февр.-2015,,,,TESCO,"6,20",,,,,,,,,,,,,,,,,,,,,,,,
2-февр.-2015,,,,,,,,,,,,,,,,,,Semering,"160,00",,,,,,,,,,
3-февр.-2015,,,,Billa,"2,34",,,,,,,pancuchy,"1,95",,,,,,,,,,,,,,,,
4-февр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,00",,
5-февр.-2015,,,,Billa,"3,35",,,,,,,,,,,,,,,,,,,,,,,,
6-февр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-февр.-2015,,,,Tesco,"24,73",Benzin,"20,05",,,,,,,,,,,,,Hornbach,"35,00",,,,,,,,
8-февр.-2015,,,,Palacinky,"6,16",,,,,,,,,,,,,,,EURO,"50,00",,,,,,,,
9-февр.-2015,,,,obed,"6,50",,,,,,,,,,,,,Pivo,"4,00",,,,,,,,"12,00",,
10-февр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-февр.-2015,,,,obed + Lidl,"9,25",,,UPC,"15,80",,,,,,,,,,,,,,,,,,"12,00",,
12-февр.-2015,,,,Lidl,"3,33",,,,,,,,,,,,,,,,,DM,"6,75",,,,,,
13-февр.-2015,,,,obed,"3,50",,,,,,,,,,,,,bazen,"5,50",,,"prasok, kremy","20,20",,,,,,
14-февр.-2015,,,,Billa,"5,28",,,,,,,Terranova + Deichmann+takko Julia,"53,89",,,,,,,,,,,,,,,,
15-февр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800
16-февр.-2015,,,,obed,"4,20",,,,,,,,,,,,,,,,,,,,,,,,
17-февр.-2015,,,,obed,"3,40",,,,,,,,,,,,,,,,,,,,,,,,
18-февр.-2015,,,,billa,"2,48",,,,,,,,,,,,,,,,,,,,,,,,
19-февр.-2015,,,,obed,"4,20",,,,,,,,,,,,,,,,,,,,,,,,
20-февр.-2015,,,,obed,"3,50",,,,,,,,,paralen 500,"1,47",,,cierny pes,"12,00",,,,,,,,,,
21-февр.-2015,,,,lidl,"9,14",,,,,,,,,,,,,,,rowachol,"16,34",,,,,,,,
22-февр.-2015,,Najomne,"440,00",LIdl,"10,05",,,,,,,,,,,,,,,EURO,"100,00",,,,,,,,
23-февр.-2015,,,,obed,"4,40",,,,,,,,,,,,,,,,,,,,,,,,
24-февр.-2015,,,,obed,"7,60",,,,,,,,,,,,,,,,,,,,,,,,
25-февр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,00",,
26-февр.-2015,,,,,,,,,,O2,"21,62",,,,,,,,,,,,,,,,,,
27-февр.-2015,,,,obed,"4,00",,,,,,,,,,,,,,,,,,,,,,,,
28-февр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Февраль,,,"440,00",,"123,61",,"20,05",,"15,80",,"21,62",,"55,84",,"1,47",,"0,00",,"181,50",,"201,34",,"26,95",,"0,00",,"48,00",,
1-марта-2015,,,,Lidl,"8,99",,,,,,,,,,,,,pivo,"8,00",,,,,,,,,,
2-марта-2015,,,,Obed,"4,20",,,,,,,,,,,,,,,,,,,,,,,,
3-марта-2015,,,,Billa,"5,77",,,,,,,,,,,,,,,,,,,,,,,,
4-марта-2015,,,,Obed+lidl,"10,95",,,,,,,,,,,,,,,,,,,,,,,,
5-марта-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-марта-2015,,,,Obed,"4,30",,,,,,,,,,,,,,,,,,,,,,,,
7-марта-2015,,,,Tesco,"58,00",,,,,,,Lidl,"22,00",,,,,,,,,,,,,,,,
8-марта-2015,,,,m&m,"0,60",,,,,,,,,,,,,,,,,,,,,,,,
9-марта-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-марта-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-марта-2015,,,,Billa,"4,21",,,UPC,"15,80",,,,,,,,,,,,,,,,,,,,
12-марта-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-марта-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-марта-2015,,,,,,,,,,,,,,,,BauMax+Lidl pumpa,"12,00",,,,,,,,,,,,
15-марта-2015,,,,Tesco+Samoska,"5,85",,,,,,,,,,,,,,,,,,,,,,,,1800
16-марта-2015,,,,,,,,,,,,,,,,,,,,,,,,Uniqa,"36,21",,,,
17-марта-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-марта-2015,,,,Samoska+Obed,"9,33",,,,,,,,,,,,,,,,,,,,,,,,
19-марта-2015,,,,,,,,,,O2,"13,70",,,,,,,,,,,,,,,,,,
20-марта-2015,,,,Sluzobna cesta,"15,00",,,,,,,,,,,,,,,,,,,,,,,,
21-марта-2015,,,,Metro,"4,50",,,,,,,,,,,,,,,,,Metro,"4,79",,,,,,
22-марта-2015,,Najomne,"440,00",Tesco,"6,74",Benzin,"20,00",,,,,,,,,,,Cestovne listky,"110,00",,,,,Filter,"7,00",,,,
23-марта-2015,,,,Lidl,"5,43",,,,,,,,,,,,,,,,,,,,,,,,
24-марта-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-марта-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-марта-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-марта-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-марта-2015,,,,Tesco,"9,77",,,,,,,Topanky Julia,"59,00",,,,,Pivo,"6,60",,,Vanilla voniavka,"5,00",,,,,,
29-марта-2015,,,,Lidl,"29,26",,,,,,,,,,,,,,,,,,,,,,,,
30-марта-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-марта-2015,,,,obed,"1,20",,,,,,,,,,,,,,,,,,,,,,,,
Март,,,"440,00",,"184,10",,"20,00",,"15,80",,"13,70",,"81,00",,"0,00",,"12,00",,"124,60",,"0,00",,"9,79",,"43,21",,"0,00",,
1-апр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-апр.-2015,,,,,,,,,,,,,,,,,,,,,,DM,"11,86",,,,,,
3-апр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-апр.-2015,,,,Lidl+tesco,"14,45",,,,,,,,,,,,,,,,,,,,,,,,
5-апр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-апр.-2015,,,,Billa,"2,57",,,,,,,,,,,,,,,,,,,,,,,,
7-апр.-2015,,,,Samoska,"0,65",,,,,,,,,,,,,,,Strepfen,"6,83",,,,,,,,
8-апр.-2015,,,,Lidl,"9,31",,,,,,,,,,,,,,,,,,,,,,,,
9-апр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-апр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-апр.-2015,,,,Samoska + Tesco,"16,95",,,,,,,,,,,,,,,Tesco+Lidl,"14,66",,,,,,,,
12-апр.-2015,,,,billa,"6,00",,,,,,,,,,,,,central smoothie,"7,00",,,,,,,,,,
13-апр.-2015,,,,Lidl+med,"9,55",,,UPC,"13,80",,,,,,,,,,,,,vypis z katastra nehnutelnosti,"11,00",,,,,,
14-апр.-2015,,,,,,,,,,,,,,"Paralen, Olynth HA","6,22",,,,,,,,,,,,,,
15-апр.-2015,,,,Samoska,"9,02",,,,,,,,,,,,,,,,,,,,,,,,1800
16-апр.-2015,,,,Lidl,"6,12",,,,,,,,,,,,,,,,,,,,,,,,
17-апр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-апр.-2015,,,,Billa+tesco,"47,08",,,,,,,,,NO-SPA,"4,39",,,,,,,,,,,,,,
19-апр.-2015,,,,,,Benzin,"20,00",,,,,,,,,,,,,,,,,,,,,,
20-апр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-апр.-2015,,,,Obed,"4,00",,,,,,,,,,,,,,,,,,,,,,,,
22-апр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-апр.-2015,,,,,,,,,,,,,,,,,,,,,,Notar,"5,74",,,,,,
24-апр.-2015,,Najomne,"440,00",Lidl,"6,00",,,,,,,,,,,,,,,,,,,,,,,,
25-апр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-апр.-2015,,,,Lidl,"8,45",,,,,,,,,,,,,,,,,,,,,,,,
27-апр.-2015,,,,,,,,,,,,,,,,,,,,,,Cudzinecka policia,"199,90",,,,,,
28-апр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-апр.-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-апр.-2015,,,,,,,,,,,,,,,,,,,,Benfogamma,"12,34",,,,,,,,
Апрель,,,"440,00",,"140,15",,"20,00",,"13,80",,"0,00",,"0,00",,"10,61",,"0,00",,"7,00",,"33,83",,"228,50",,"0,00",,"0,00",,
1-мая-2015,,,,Tesco,"35,74",,,,,,,,,,,,,,,Tesco,"28,48",,,,,,,,
2-мая-2015,,,,Lidl,"6,94",,,,,,,,,,,,,,,,,Taska na kolieskach,"17,00",,,,,,
3-мая-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-мая-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-мая-2015,,,,Samoska,"3,50",,,,,,,,,,,,,,,,,,,,,,,,
6-мая-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-мая-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-мая-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-мая-2015,,,,"Lidl, billa","4,90",,,,,,,Ponoski,"1,00",,,,,Wien U-bahn,"4,40",,,DM,"6,95",,,,,,
10-мая-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-мая-2015,,,,Lidl,"4,40",,,,,,,,,,,,,,,,,,,,,,,,
12-мая-2015,,,,"My Bratislava, tesco","6,26",,,,,,,,,,,,,,,,,,,,,,,,
13-мая-2015,,,,"Samoska, obed","11,77",,,,,,,,,,,,,,,,,,,,,Slovencina,"12,00",,
14-мая-2015,,,,Lidl,"6,88",,,,,,,,,,,,,,,,,,,,,,,,
15-мая-2015,,,,obed,"4,20",,,,,,,,,,,,,,,,,,,,,,,,1800
16-мая-2015,,,,Tesco,"8,53",Benzin,"20,00",,,,,,,,,,,,,,,,,,,,,,
17-мая-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-мая-2015,,,,,,,,,,O2,"15,39",,,,,,,,,,,,,,,,,,
19-мая-2015,,,,Billa,"10,80",,,,,,,,,,,,,,,,,,,,,,,,
20-мая-2015,,Najomne,"440,00",,,,,,,,,,,,,,,,,,,,,,,Slovencina,"12,00",,
21-мая-2015,,,,Billa,"2,50",,,,,,,,,,,,,,,,,,,,,,,,
22-мая-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-мая-2015,,,,Lidl,"11,41",,,,,,,,,,,,,,,,,,,,,,,,
24-мая-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-мая-2015,,,,"Lidl, obed","10,97",,,,,,,,,,,,,,,,,,,,,,,,
26-мая-2015,,,,"Billa, obed","10,87",,,,,,,,,,,,,,,,,,,,,,,,
27-мая-2015,,,,,,,,,,,,,,,,,,,,,,,,,,Slovencina,"12,00",,
28-мая-2015,,,,,,,,,,,,,,,,Objektiv,"47,15",,,,,,,,,,,,
29-мая-2015,,,,,,,,,,,,,,,,,,,,,,Urichlena karticka,"24,50",,,,,,
30-мая-2015,,,,Napoj,"2,00",,,,,,,,,,,,,,,,,,,,,,,,
31-мая-2015,,,,,,,,,,,,,,,,,,Bokovka,"20,00",,,,,,,,,,
Май,,,"440,00",,"141,67",,"20,00",,"0,00",,"15,39",,"1,00",,"0,00",,"47,15",,"24,40",,"28,48",,"48,45",,"0,00",,"36,00",,
1-июня-2015,,,,"obed, Lidl","19,04",,,,,,,,,,,,,,,,,Speedminton ,"14,99",,,,,,
2-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-июня-2015,,,,,,,,,,,,"Майки, шорти, плаття","44,95",,,,,,,,,,,,,,,,
4-июня-2015,,,,"My Bratislava, obed","13,78",,,,,,,,,,,,,,,,,,,,,,,,
5-июня-2015,,,,Lidl,"3,41",,,,,,,,,,,Hriankovac,"19,99",,,,,"Nafuk. postel, napinacia plachta","25,98",,,,,,
6-июня-2015,,,,Lidl,"21,55",,,,,,,,,,,,,Pivo,"4,00",,,,,,,,,,
7-июня-2015,,,,Lidl,"8,15",,,,,,,,,,,,,,,,,,,,,,,,
8-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-июня-2015,,,,,,,,UPC,"15,80",,,,,,,,,,,,,,,UNIQA,"36,21",,,,
11-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-июня-2015,,,,,,,,,,O2,"15,56",,,,,,,,,,,,,,,,,,
20-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-июня-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Июня,,,"0,00",,"65,93",,"0,00",,"15,80",,"15,56",,"44,95",,"0,00",,"19,99",,"4,00",,"0,00",,"40,97",,"36,21",,"0,00",,
1-июля-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-июля-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
